user_id,given_name,family_name,sms_opt_in_status,created_date,modified_date,blocked_date
474960,Enialis,Liadon,OPT_IN,1554167964,1664202529,
445617,Hadarai,Nailo,UNSPECIFIED,1552433040,1663951225,
516527,Himo,Amakir,UNSPECIFIED,1556074554,1663950507,
519512,Tharivol,Amastacia,UNSPECIFIED,1556239906,1663950376,
59617,Mindartis,Nailo,UNSPECIFIED,1535507421,1664131463,
3288,Mindartis,Nailo,UNSPECIFIED,1519341239,1663948538,
8364,Adran,Holimion,OPT_IN,1523666261,1663949151,
4560,Leshanna,Galanodel,UNSPECIFIED,1520553580,1663950764,
283640,Soveliss,Siannodel,UNSPECIFIED,1540771324,1663951429,
549105,Xanaphia,Xiloscient,OPT_IN,1557948665,1663947057,
548614,Theirastra,Xiloscient,OPT_IN,1557951714,1663951248,
28505,Laucian,Liadon,UNSPECIFIED,1532058230,1663950336,
193152,Carric,Amastacia,OPT_IN,1539631394,1663947433,
556080,Althaea,Ilphelkiir,UNSPECIFIED,1558317358,1663882897,
181761,Meriele,Ilphelkiir,OPT_IN,1539386910,1663952360,
547642,Vadania,Holimion,UNSPECIFIED,1557865103,1663951446,
23165,Enialis,Siannodel,UNSPECIFIED,1530884263,1663947533,
54922,Paelias,Siannodel,UNSPECIFIED,1535049878,1663953560,
155957,Felosial,Ilphelkiir,OPT_IN,1539017768,1663953824,
552465,Leshanna,Ilphelkiir,UNSPECIFIED,1558098650,1663950004,
669797,Xanaphia,Siannodel,UNSPECIFIED,1567446258,1663952645,
632432,Drusilia,Holimion,UNSPECIFIED,1563396156,1663949721,
779589,Ivellios,Meliamne,OPT_IN,1569286015,1663951015,
792533,Shava,Amakir,OPT_IN,1569845359,1663950567,
792539,anastrianna,Siannodel,UNSPECIFIED,1569846184,1663889774,
792637,Soveliss,Meliamne,UNSPECIFIED,1569853991,1663891271,
792770,Adrie,Meliamne,UNSPECIFIED,1569858181,1663894438,
794053,Quillathe,Liadon,OPT_IN,1569894705,1663946617,
559298,Immeral,Amastacia,UNSPECIFIED,1558580656,1663948623,
795636,Birel,Liadon,OPT_IN,1569972652,1663891237,
709727,Erevan,Ilphelkiir,UNSPECIFIED,1567129749,1663893399,
258403,Riardon,Nailo,UNSPECIFIED,1540490301,1663949490,
714706,Erevan,Meliamne,OPT_IN,1567131257,1663892950,
714931,Rolen,Siannodel,OPT_IN,1567135490,1663953647,
715721,Sariel,Holimion,UNSPECIFIED,1567177573,1663952071,
718513,anastrianna,Liadon,UNSPECIFIED,1567302517,1663889385,
104336,Enna,Holimion,OPT_IN,1537569753,1663948922,
706101,Valanthe,Xiloscient,OPT_IN,1566869131,1663947011,
787515,Theirastra,Xiloscient,UNSPECIFIED,1569596108,1663950429,
781952,Bethrynna,Meliamne,UNSPECIFIED,1569368256,1663953789,
329602,Althaea,Amakir,UNSPECIFIED,1541136001,1663951112,
568282,Shava,Siannodel,UNSPECIFIED,1559603620,1663948491,
254349,Aust,Nailo,UNSPECIFIED,1540430615,1663949019,
685018,Xanaphia,Ilphelkiir,OPT_IN,1565901538,1663946229,
133464,Theren,Galanodel,UNSPECIFIED,1538582480,1663949999,
758935,Erdan,Amastacia,UNSPECIFIED,1568748175,1663953714,
98482,Ielenia,Ilphelkiir,OPT_IN,1537466702,1663950136,
798489,Thamior,Ilphelkiir,UNSPECIFIED,1570105912,1663889039,
449024,Xanaphia,Amakir,UNSPECIFIED,1552615427,1663946344,
799126,Leshanna,Nailo,UNSPECIFIED,1570128957,1663947205,
799519,Heian,Nailo,UNSPECIFIED,1570139970,1663889473,
799974,Peren,Liadon,UNSPECIFIED,1570151940,1663898623,
